Наименование,Цена,Ед,Вариант,Артикул,Бренд
Газоблок Грас 600x200x100 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x75 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x50 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x300 D300,7518.44,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x350 D300,7518.44,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x375 D300,7518.44,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x400 D300,7518.44,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x450 D300,7518.44,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x500 D300,7518.44,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x500 D300,7518.44,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x400 D350,7631.56,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x450 D350,7631.56,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x500 D350,7631.56,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x450 D350,7631.56,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x500 D350,7631.56,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x250 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x300 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x350 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x375 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x400 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x450 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x500 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x200 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x250 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x300 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x350 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x375 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x400 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x450 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x500 D500 ,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x200 D300,0,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x250 D300,0,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x250 D300,0,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x250 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x300 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x350 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x300 D300,0,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x375 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x350 D300,0,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x400 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x375 D300,0,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x450 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x400 D300,0,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x500 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x450 D300,0,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x200 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x200 D350,0,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x250 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x300 D350,0,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x300 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x350 D350,0,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x350 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x375 D350,0,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x375 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x250 D350,0,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x400 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x250 D350,0,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x450 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x300 D350,0,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x500 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x350 D350,0,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x250 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x375 D350,0,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x300 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x350 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x400 D350,0,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x375 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x400 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x200 D400,0,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x450 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x500 D600 В2,5",7743.67,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x200 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x250 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x300 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x350 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x375 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x400 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x450 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x250 D400,0,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x200x500 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x250 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x300 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x350 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x375 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x400 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x450 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
"Газоблок Грас 600x250x500 D600 В3,5",7855.78,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x300 D400,0,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x350 D400,0,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x375 D400,0,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x400 D400,0,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x450 D400,0,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x500 D400,0,₽/м.куб,1 м.куб (опт),,
Отсевоблок (щебёночный) 90х190х390,79.2,₽/шт,,,
Отсевоблок (щебёночный) 120х190х390,91,₽/шт,,,
Керамзитоблок 250х190х390,116.95,₽/шт,,,
Керамзитоблок 190х190х390,98.05,₽/шт,,,
Керамический поризованный блок POROMAX-120,202.8,₽/шт,,,
Керамический поризованный блок POROMAX-380,388,₽/шт,,,
ДСП сорт 1 шл 1830x2750x16 мм,1887,₽/шт,,,
ДСП сорт 1 шл 1830x2440x16 мм,1683,₽/шт,,,
ДСП сорт 2 3500х1750х16 мм,1836,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1/1 black 1220*2440 мм (18 мм),4200,₽/шт,,,
"Ламинированная Фанера березовая ФЛФ сорт 1/1  1220*2440 мм (6,5 мм)",2400,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1 гл/сетка 1500*3000 (21 мм),7500,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1 гл/сетка 1500x3000 (18 мм),7000,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1 гл/сетка 1500x3000 (15 мм),6500,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1 гл/сетка 1500x3000 (12 мм),6200,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1 гл/сетка 1500x3000 (9 мм),6000,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1 гл/сетка 1220x2440 (30 мм),9000,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1 гл/сетка 1220x2440 (27 мм),8000,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1 гл/сетка 1220x2440 (24 мм),7000,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1 гл/сетка 1220x2440 (21 мм),5600,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1 гл/сетка 1220x2440 (18 мм),4800,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1 гл/сетка 1220x2440 (15 мм),4100,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1 гл/сетка 1220x2440 (12 мм),3800,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1 гл/сетка 1220x2440 (9 мм),3200,₽/шт,,,
"Фанера ламинированная ФЛФ сорт 1 гл/сетка 1220x2440 (6,5 мм)",2600,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1/1 1220x2440 (30 мм),7600,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1/1 1220x2440 (27 мм),6900,₽/шт,,,
Фанера ламинированная ФЛФ сорт 1/1 1220x2440 (24 мм),6200,₽/шт,,,
Ламинированная Фанера ФЛФ сорт 1/1 2LOGO 1220x2440 мм (21 мм),3600,₽/шт,,,
Ламинированная Фанера ФЛФ сорт 1/1 LOGO 1220x2440 мм (18 мм),3400,₽/шт,,,
Ламинированная Фанера ФЛФ сорт 1/1  1220x2440 мм (15 мм),3200,₽/шт,,,
Ламинированная Фанера ФЛФ сорт 1/1  1220x2440 мм (9 мм),2700,₽/шт,,,
"Ламинированная Фанера ФЛФ сорт 1/1 ""Дуб Вотан"" 1220x2440 мм (18 мм)",8000,₽/шт,,,
Ламинированная Фанера ФЛФ сорт 1/1 black 1220x2440 мм (18 мм),4200,₽/шт,,,
Фанера ФСФ сорт 3/3 1220x2440 мм (18 мм),2703,₽/шт,,,
Фанера ФСФ сорт 4/4 1500x3000 мм (15 мм),5712,₽/шт,,,
Фанера ФСФ сорт 2/2 1220x2440 мм (21 мм),4590,₽/шт,,,
Фанера ФСФ сорт 2/2 1220x2440 мм (15 мм),3366,₽/шт,,,
Фанера ФСФ сорт 2/2 1220x2440 мм (12 мм),2754,₽/шт,,,
Фанера ФСФ сорт 2/2 1220x2440 мм (9 мм),2244,₽/шт,,,
"Фанера ФСФ сорт 2/2 1220x2440 мм (6,5 мм)",1500,₽/шт,,,
Фанера ФСФ сорт 2/2 1220x2440 мм (4 мм),1530,₽/шт,,,
Фанера ФСФ сорт 2/4 1220x2440 мм (40 мм),10200,₽/шт,,,
Фанера ФСФ сорт 2/4 1220x2440 мм (27 мм),6630,₽/шт,,,
Фанера ФСФ сорт 2/4 1220x2440 мм (24 мм),5610,₽/шт,,,
Фанера ФСФ сорт 2/4 1220x2440 мм (21 мм),4080,₽/шт,,,
Фанера ФСФ сорт 2/4 1220x2440 мм (18 мм),3468,₽/шт,,,
Фанера ФСФ сорт 2/4 1220x2440 мм (12 мм),2652,₽/шт,,,
