Наименование,Цена,Ед,Вариант,Артикул,Бренд
Газоблок ВКБлок 625x150x250 D400,210.14,₽/шт,1 шт,,
Газоблок ВКБлок 625x150x250 D400,7335.63,₽/шт,1 м3 (опт),,
Газоблок ВКБлок 625x200x250 D400,280.18,₽/шт,1 шт,,
Газоблок ВКБлок 625x200x250 D400,7335.63,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x250x250 D400,350.24,₽/шт,1 шт,,
Газоблок ВКБлок 625x250x250 D400,7335.63,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x200x300 D400,336.22,₽/шт,1 шт,,
Газоблок ВКБлок 625x200x300 D400,7335.63,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x250x300 D400,350.24,₽/шт,1 шт,,
Газоблок ВКБлок 625x250x300 D400,7335.63,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x350x250 D400,490.32,₽/шт,1 шт,,
Газоблок ВКБлок 625x350x250 D400,7335.63,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x375x250 D400,525.35,₽/шт,1 шт,,
Газоблок ВКБлок 625x375x250 D400,7335.63,₽/м.куб,1 м3 (опт),,
Газоблок ВКБлок 625x400x250 D400,560.37,₽/шт,1 шт,,
Газоблок ВКБлок 625x400x250 D400,7335.63,₽/м.куб,1 м3 (опт),,
U-Образный ВКБлок 500x200x250,330,₽/шт,1 шт,,
U-Образный ВКБлок 500x200x250,270.68,₽/шт,1 шт (опт),,
U-Образный ВКБлок 500x250x250,360,₽/шт,1 шт,,
U-Образный ВКБлок 500x250x250,291.89,₽/шт,1 шт (опт),,
U-Образный ВКБлок 500x300x250,390,₽/шт,1 шт,,ВКБ - Производитель блоков для строительства
U-Образный ВКБлок 500x300x250,314.11,₽/шт,1 шт (опт),,ВКБ - Производитель блоков для строительства
U-Образный ВКБлок 500x375x250,440,₽/шт,1 шт,,ВКБ - Производитель блоков для строительства
U-Образный ВКБлок 500x375x250,361.58,₽/шт,1 шт (опт),,ВКБ - Производитель блоков для строительства
U-Образный ВКБлок 500x400x250,450,₽/шт,1 шт,,ВКБ - Производитель блоков для строительства
U-Образный ВКБлок 500x400x250,377.74,₽/шт,1 шт (опт),,ВКБ - Производитель блоков для строительства
"О-блок ГРАС 600х250х300 D400 B2,5",561.56,₽/шт,1 шт (опт),,
"О-блок ГРАС 600х250х375 D400 B2,5",561.56,₽/шт,1 шт (опт),,
"О-блок ГРАС 600х250х400 D400 B2,5",561.56,₽/шт,1 шт (опт),,
Газоблок Грас 600x300x150 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x300x125 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x300x100 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x300x75 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x300x50 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x150 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x125 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x100 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x75 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x50 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x150 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x125 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x100 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x75 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x50 D500,7743.67,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x300x150 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x300x125 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x300x100 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x300x75 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x300x50 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x150 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x125 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x100 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x75 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x250x50 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x150 D400,7687.11,₽/м.куб,1 м.куб (опт),,
Газоблок Грас 600x200x125 D400,7687.11,₽/м.куб,1 м.куб (опт),,
